"MetWatch daily weather data for Kumeu, Auckland"
"Start Date","Max Air Temp. (°C)","Min Air Temp. (°C)","Mean Air Temp. (°C)","Rainfall (mm)","Evapo-transpiration (mm/d)","Backup Data","Missing Data"
"Sat 23rd Apr 2016",-,-,-,-,-,,All
"Sun 24th Apr 2016",-,-,-,-,-,,All
"Mon 25th Apr 2016",-,-,-,-,-,,All
"Tue 26th Apr 2016",-,-,-,-,-,,All
"Wed 27th Apr 2016",-,-,-,-,-,,All
"Thu 28th Apr 2016",-,-,-,-,-,,All
"Fri 29th Apr 2016",-,-,-,-,-,,All
"Sat 30th Apr 2016",-,-,-,-,-,,All
"Sun 1st May 2016",-,-,-,-,-,,All
"Mon 2nd May 2016",-,-,-,-,-,,All
"Tue 3rd May 2016",-,-,-,-,-,,All
"Wed 4th May 2016",-,-,-,-,-,,All
"Thu 5th May 2016",-,-,-,-,-,,All
"Fri 6th May 2016",-,-,-,-,-,,All
"Sat 7th May 2016",-,-,-,-,-,,All
"Sun 8th May 2016",-,-,-,-,-,,All
"Mon 9th May 2016",-,-,-,-,-,,All
"Tue 10th May 2016",-,-,-,-,-,,All
"Wed 11th May 2016",-,-,-,-,-,,All
"Thu 12th May 2016",-,-,-,-,-,,All
"Fri 13th May 2016",-,-,-,-,-,,All
"Sat 14th May 2016",-,-,-,-,-,,All
"Sun 15th May 2016",-,-,-,-,-,,All
"Mon 16th May 2016",-,-,-,-,-,,All
"Tue 17th May 2016",-,-,-,-,-,,All
"Wed 18th May 2016",-,-,-,-,-,,All
"Thu 19th May 2016",-,-,-,-,-,,All
"Fri 20th May 2016",-,-,-,-,-,,All
"Sat 21st May 2016",-,-,-,-,-,,All
"Sun 22nd May 2016",-,-,-,-,-,,All
"Mon 23rd May 2016",-,-,-,2.4,2.6,,Some
"Tue 24th May 2016",18.5,13.3,15.9,13.0,1.4,,
"Wed 25th May 2016",18.1,9.9,14.0,15.4,1.1,,
"Thu 26th May 2016",18.3,11.4,14.8,3.0,1.4,,
"Fri 27th May 2016",19.1,10.8,15.0,8.6,0.8,,
"Sat 28th May 2016",20.3,16.4,18.4,0.2,1.8,,
"Sun 29th May 2016",19.9,12.8,16.4,20.4,1.3,,
"Mon 30th May 2016",17.5,9.5,13.5,4.2,1.5,,
"Tue 31st May 2016",15.2,3.6,9.4,15.8,1.9,,
"Wed 1st Jun 2016",13.4,5.4,9.4,4.6,0.6,,
"Thu 2nd Jun 2016",14.0,-0.5,6.8,0.0,0.8,,
"Fri 3rd Jun 2016",15.5,-0.5,7.5,0.0,0.7,,
"Sat 4th Jun 2016",17.3,-0.8,8.3,0.0,0.5,,
"Sun 5th Jun 2016",16.5,1.5,9.0,0.0,0.7,,
"Mon 6th Jun 2016",15.8,8.2,12.0,0.0,1.3,,
"Tue 7th Jun 2016",17.6,13.9,15.7,0.0,2.3,,
"Wed 8th Jun 2016",17.3,14.9,16.1,0.2,1.6,,
"Thu 9th Jun 2016",18.6,15.8,17.2,5.6,0.9,,
"Fri 10th Jun 2016",19.8,8.4,14.1,1.0,0.6,,
