"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Fri 1st Jan 2021","12 - 1am",14.2,0.0,100.0,95.1,1.5,W,"Not Recommended",,
"Fri 1st Jan 2021","1 - 2am",12.3,0.0,98.0,95.8,0.2,W,"Not Recommended",,
"Fri 1st Jan 2021","2 - 3am",11.0,0.0,95.7,97.2,0.0,N,"Not Recommended",,
"Fri 1st Jan 2021","3 - 4am",9.8,0.0,96.4,97.9,0.2,W,"Not Recommended",,
"Fri 1st Jan 2021","4 - 5am",8.8,0.0,97.6,98.4,0.0,N,"Not Recommended",,
"Fri 1st Jan 2021","5 - 6am",8.5,0.0,98.9,98.8,0.2,W,"Not Recommended",,
"Fri 1st Jan 2021","6 - 7am",9.2,0.0,99.8,99.1,0.5,NW,"Not Recommended",,
"Fri 1st Jan 2021","7 - 8am",13.8,0.0,100.0,96.8,0.7,N,"Not Recommended",,
"Fri 1st Jan 2021","8 - 9am",18.2,0.0,55.0,86.0,2.2,S,"Not Recommended",,
"Fri 1st Jan 2021","9 - 10am",20.1,0.0,0.2,69.2,4.8,W,"Best Conditions",,
"Fri 1st Jan 2021","10 - 11am",22.1,0.0,0.2,53.4,6.1,SW,"Best Conditions",,
"Fri 1st Jan 2021","11 - 12pm",22.9,0.0,0.1,54.1,8.8,SW,"Best Conditions",,
"Fri 1st Jan 2021","12 - 1pm",23.6,0.0,0.2,53.3,8.9,SW,"Best Conditions",,
"Fri 1st Jan 2021","1 - 2pm",24.3,0.0,0.2,51.7,9.9,SW,"Best Conditions",,
"Fri 1st Jan 2021","2 - 3pm",24.8,0.0,0.2,43.8,11.7,SW,"Suitable With Caution",,
"Fri 1st Jan 2021","3 - 4pm",24.7,0.0,0.2,47.1,12.7,SW,"Suitable With Caution",,
