"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Fri 1st Jan 2016","12 - 1am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","1 - 2am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","2 - 3am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","3 - 4am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","4 - 5am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","5 - 6am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","6 - 7am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","7 - 8am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","8 - 9am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","9 - 10am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","10 - 11am",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","11 - 12pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","12 - 1pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","1 - 2pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","2 - 3pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","3 - 4pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","4 - 5pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","5 - 6pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","6 - 7pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","7 - 8pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","8 - 9pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","9 - 10pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","10 - 11pm",-,-,-,-,-,-,,,All
"Fri 1st Jan 2016","11 - 12am",-,-,-,-,-,-,,,All
"Sat 2nd Jan 2016","12 - 1am",-,-,-,-,-,-,,,All
