"MetWatch monthly weather data for Kumeu, Auckland"
Month,"Highest Max Temp. (°C)","Mean Max Temp. (°C)","Mean Min Temp. (°C)","Lowest Min Temp. (°C)","Mean Temperature. (°C)","Rainfall (mm)","Backup Data","Missing Data"
January,30.2,25.8,17.1,12.0,21.5,160.8,,
February,29.6,24.7,15.8,10.0,20.2,235.6,,
March,28.5,23.7,13.7,8.8,18.7,99.2,,
April,24.4,20.7,11.4,5.6,16.0,128.4,,
May,24.5,18.5,8.3,-1.0,13.4,137.8,,
June,19.4,15.4,6.4,-2.0,10.9,161.8,,
July,17.6,15.5,4.8,-1.9,10.1,93.0,,
August,18.1,16.0,6.2,0.9,11.1,46.2,,
September,20.7,16.6,7.7,1.2,12.2,25.0,,
October,22.1,18.3,7.1,2.4,12.7,62.8,,
November,25.9,20.5,10.2,3.9,15.3,78.4,,
December,27.3,22.5,13.6,7.0,18.1,210.6,,
"Information from HortPlus MetWatch www.metwatch.nz"
