"MetWatch monthly weather data for Kumeu, Auckland"
Month,"Highest Max Temp. (°C)","Mean Max Temp. (°C)","Mean Min Temp. (°C)","Lowest Min Temp. (°C)","Mean Temperature. (°C)","Rainfall (mm)","Backup Data","Missing Data"
January,0.0,0.0,0.0,0.0,0.0,0.0,,100%
February,0.0,0.0,0.0,0.0,0.0,0.0,,100%
March,0.0,0.0,0.0,0.0,0.0,0.0,,100%
April,0.0,0.0,0.0,0.0,0.0,0.0,,100%
May,20.3,18.4,11.0,3.6,14.7,83.0,,71%
June,19.8,16.5,7.7,-0.8,12.1,140.0,,
July,18.6,15.4,7.4,-3.1,11.4,154.8,,
August,19.4,15.4,5.6,-0.4,10.5,147.8,,
September,21.1,16.9,9.7,0.0,13.3,167.8,,
October,21.0,18.2,9.8,1.9,14.0,100.8,,
November,24.7,19.6,11.9,6.3,15.8,84.4,,
December,24.9,21.4,11.5,6.9,16.4,33.8,,
"Information from HortPlus MetWatch www.metwatch.nz"
